Data Processamento,TIPO DE BENEFICIARIO,ORGAO INSTITUIDOR,CARGO DO INSTITUIDOR,total_rendimento_bruto,max_rendimento_bruto,total_rendimento_iquido,max_rendimento_liquido,min_data_inicio_pensao,quantidade
2020-01-01,Companheiro (a),Comando da Aeronáutica,Aspirante-a-Oficial,9948.40,9948.40,7988.20,7988.20,2008-04-26,1
2020-01-01,Companheiro (a),Comando da Aeronáutica,Brigadeiro,684743.74,26603.70,541821.02,20429.91,1991-11-25,43
2020-01-01,Companheiro (a),Comando da Aeronáutica,Cabo (engajado),190309.66,4360.82,182531.25,4027.09,1967-10-16,67
2020-01-01,Companheiro (a),Comando da Aeronáutica,Capitao,551189.94,32703.30,449850.06,24271.03,1994-10-15,46
2020-01-01,Companheiro (a),Comando da Aeronáutica,Coronel,657840.86,24276.12,525516.30,21083.11,1992-12-20,44
2020-01-01,Companheiro (a),Comando da Aeronáutica,Major,723582.14,22176.00,596798.93,21121.65,1993-12-03,51
2020-01-01,Companheiro (a),Comando da Aeronáutica,Major-Brigadeiro,673898.24,28406.40,542011.44,26346.86,1997-09-14,42
2020-01-01,Companheiro (a),Comando da Aeronáutica,Marechal-do-Ar,625100.00,32802.80,503358.02,29405.90,1993-12-03,28
2020-01-01,Companheiro (a),Comando da Aeronáutica,Primeiro-Sargento,577633.84,9759.74,521992.74,9584.22,1983-03-05,105
2020-01-01,Companheiro (a),Comando da Aeronáutica,Primeiro-Tenente,2782333.33,16490.00,2353202.40,14727.83,1971-11-23,285
2020-01-01,Companheiro (a),Comando da Aeronáutica,Segundo-Sargento,861027.54,8919.90,779095.11,7775.82,1977-09-10,160
2020-01-01,Companheiro (a),Comando da Aeronáutica,Segundo-Tenente,4720429.03,80330.25,4149102.94,133201.56,1985-01-30,541
2020-01-01,Companheiro (a),Comando da Aeronáutica,Soldado de 1ª Classe,35724.85,2580.84,34578.22,2500.14,2001-05-12,14
2020-01-01,Companheiro (a),Comando da Aeronáutica,Soldado de 1ª Classe/ 2ª Classe,65666.84,2824.00,64406.57,2787.29,1994-12-30,32
2020-01-01,Companheiro (a),Comando da Aeronáutica,Soldado-Recruta/Soldado de 2ª Classe,2350.04,1250.48,2319.50,1234.23,2009-07-01,2
2020-01-01,Companheiro (a),Comando da Aeronáutica,Suboficial,1429386.04,124120.28,1352337.09,204764.34,1979-05-20,206
2020-01-01,Companheiro (a),Comando da Aeronáutica,Taifeiro de 1ª Classe,10475.21,3371.25,10339.07,3327.43,1996-07-07,7
2020-01-01,Companheiro (a),Comando da Aeronáutica,Taifeiro de 2ª Classe,4824.58,2961.40,4678.25,2839.28,1995-11-16,3
2020-01-01,Companheiro (a),Comando da Aeronáutica,Taifeiro-Mor,15884.73,3931.00,15237.14,3640.83,1993-12-03,7
2020-01-01,Companheiro (a),Comando da Aeronáutica,Tenente-Brigadeiro-do-Ar,251352.61,29574.71,202530.80,27999.08,2000-01-19,13
